id_endereco,id_cliente,logradouro,numero,bairro,cidade,estado,cep,created_at
1,1914,Lagoa Maria Liz da Rosa,718,Boa Esperança,Pereira,BA,96828-344,2025-04-07 20:23:27
2,4317,Rodovia Matheus Andrade,2,Cruzeiro,Carvalho,PA,52859-814,2024-05-19 16:11:10
3,3389,Via de Nascimento,26,Coração De Jesus,Pimenta de Goiás,PE,66770022,2023-06-02 16:09:20
4,4441,Viela de Mendes,48,Outro,Aparecida,AM,73590-185,2023-08-26 20:21:15
5,2610,Feira de Araújo,82,Biquinhas,Pinto,SP,89103232,2025-04-15 01:39:25
6,3651,Passarela de Araújo,41,Acaba Mundo,Sousa,RN,30809-451,2023-05-04 08:56:29
7,4155,Residencial Porto,26,Serra,Vargas de Vieira,SC,17052747,2023-12-20 08:29:59
8,4606,Área de Porto,3,Parque São José,Leão das Pedras,AP,26467121,2023-07-17 00:08:03
9,1480,Vila Larissa da Conceição,4,Aeroporto,Costa da Mata,AL,13856-031,2023-06-11 15:15:06
10,4725,Distrito Aragão,43,Acaba Mundo,Cavalcante,MS,01338-374,2023-04-20 18:24:04
11,627,Sítio de Siqueira,519,São Marcos,da Conceição,SE,14207-084,2025-10-18 09:34:38
12,4810,Residencial Marcela Alves,97,Novo Tupi,Barros,PE,97371-209,2025-09-22 01:11:17
13,3224,Loteamento Barbosa,29,Vila Nova Cachoeirinha 3ª Seção,Macedo da Mata,RS,38157-199,2025-09-23 14:14:26
14,2487,Morro Nogueira,1,Bonfim,Gomes,PI,98309-853,2025-07-21 06:52:27
15,4006,Travessa Gustavo Henrique Aragão,53,Vila Vista Alegre,Aparecida,TO,09440-339,2023-09-06 04:09:19
16,700,Setor de Oliveira,76,São Salvador,das Neves,PA,03561963,2024-01-04 01:10:13
17,4296,Praça de Moraes,23,Ipiranga,Carvalho,RO,63818264,2023-06-01 13:22:29
18,280,Via de Novais,9,Vila Novo São Lucas,da Cruz,AL,89183162,2022-11-22 06:56:16
19,2615,Parque de Peixoto,16,Céu Azul,Barbosa,AP,55883-747,2024-10-18 06:39:58
20,26,Viela de Moreira,66,Boa Vista,Porto,RN,01057-253,2025-04-15 21:58:25
21,1040,Parque de Lima,862,Vila Paris,Vargas,SC,44744492,2024-09-15 03:35:37
22,3812,Chácara da Cruz,18,Santa Efigênia,Aragão da Mata,AM,87584210,2025-11-11 16:37:10
23,1453,Trevo de Fogaça,93,Novo Tupi,Jesus,MA,69452-064,2023-09-22 05:16:12
24,4382,Parque Luiz Gustavo Barros,8,Vila Califórnia,Moraes,AL,18953947,2023-12-29 04:42:36
25,4008,Parque Yuri Almeida,167,Cruzeiro,Câmara da Mata,MG,95679-279,2025-07-28 17:43:14
26,4398,Fazenda Ana Luiza Gomes,14,São Pedro,Ramos do Oeste,GO,51864644,2023-06-24 06:27:03
27,3565,Conjunto Vitória Mendes,57,Nova Cintra,Siqueira,PB,71568-266,2025-03-30 23:56:34
28,523,Viela da Mota,371,Novo Glória,Freitas da Praia,AL,27367-155,2025-10-04 22:01:34
29,617,Recanto Aylla Cardoso,74,Minas Brasil,Fonseca,PB,17347806,2023-11-23 19:54:19
30,313,Vereda Ana Vitória Lopes,3,Vila São João Batista,Oliveira,RR,79963-385,2025-06-30 08:13:29
31,1244,Sítio de Barbosa,388,Funcionários,Barros,SE,45327338,2024-12-05 12:19:42
32,3877,Colônia Apollo Pacheco,71,Vila Pinho,Sousa Verde,AL,70453692,2023-10-17 07:34:31
33,2702,Esplanada Melo,39,Conjunto Minas Caixa,Farias das Flores,MG,14059311,2025-09-13 10:16:57
34,2361,Favela de Barbosa,47,Flamengo,Lopes,MG,12978-030,2023-01-01 13:23:12
35,2327,Morro de Santos,558,Silveira,Cardoso de Minas,RS,75205-032,2024-03-31 06:10:07
36,9,Favela de Castro,64,Carmo,Souza,MG,78582254,2023-07-08 10:44:44
37,2813,Quadra José Pimenta,420,Jardim Felicidade,da Paz,MT,85374651,2024-04-16 00:37:51
38,2606,Vale de Mendonça,2,Vila Piratininga,Sales,TO,74198635,2025-03-20 15:34:24
39,2498,Vale Kamilly Cassiano,73,Mariano De Abreu,Gomes,TO,90066194,2025-09-25 22:23:52
40,3944,Núcleo Daniel da Cruz,6,Vera Cruz,Nunes,SC,18104-328,2023-02-06 08:34:10
41,1132,Vale Mendonça,25,Biquinhas,Nunes do Galho,TO,88430489,2024-02-01 08:15:34
42,655,Recanto de da Cunha,58,Vila Madre Gertrudes 1ª Seção,da Rosa do Oeste,RS,69264-759,2024-08-23 14:33:41
43,1404,Quadra de Gonçalves,36,Canaa,Gonçalves,AP,90533-617,2025-08-07 18:04:01
44,1429,Ladeira Pires,80,Tiradentes,Cavalcante,MA,31709-681,2023-05-13 05:50:55
45,3553,Vereda Caio Brito,43,Mangabeiras,Caldeira,RS,13013-875,2024-05-05 05:19:46
46,2069,Aeroporto Casa Grande,37,Apolonia,Siqueira,TO,56776727,2023-03-25 20:52:25
47,3209,Lago de Pimenta,62,Caiçaras,Casa Grande,GO,94573175,2024-12-29 14:49:01
48,2993,Estrada João Felipe da Cruz,82,Pousada Santo Antonio,da Cruz de Teixeira,RO,77808-932,2024-04-07 14:19:27
49,3840,Rua da Rocha,1,Bacurau,Gonçalves de da Paz,RS,32738998,2024-10-31 01:16:30
50,1627,Núcleo Davi Lucas Aragão,58,Carmo,Andrade dos Dourados,SC,29064387,2023-02-12 01:39:41
51,379,Setor de Dias,5,Vila Santa Rosa,Pastor do Oeste,AL,62051661,2025-04-10 13:24:47
52,4199,Núcleo Vitor Cunha,70,Estoril,Melo,SC,16633-352,2023-11-21 16:01:25
53,1894,Vale Gonçalves,2,Granja Werneck,Pacheco do Norte,RR,75865238,2022-11-29 12:32:54
54,361,Morro de Pacheco,2,Grajaú,Costela,PA,94312-738,2023-12-26 08:28:53
55,1631,Núcleo Maria Alice Ramos,99,Barão Homem De Melo 1ª Seção,Novaes,SE,48715294,2024-03-15 11:37:51
56,4073,Pátio Bella Araújo,4,Bandeirantes,Araújo,SE,18925-842,2024-08-24 00:24:09
57,1398,Residencial Macedo,57,Ouro Preto,Montenegro,MS,53872919,2023-08-16 13:32:02
58,3223,Área Aragão,31,Santa Tereza,da Mata,MT,01910073,2023-12-21 12:32:33
59,2049,Praça Davi Lucca Oliveira,97,Vila Da Luz,Garcia da Serra,TO,27784-049,2023-08-04 04:41:37
60,493,Morro Samuel Câmara,8,Apolonia,Cassiano do Norte,GO,42765057,2025-08-07 01:45:26
61,2936,Avenida da Rocha,163,Confisco,Souza,CE,49023302,2023-03-10 20:28:24
62,2832,Praça Sousa,40,Vila Maloca,da Conceição,SE,79939643,2024-08-08 22:05:25
63,3876,Viaduto de da Costa,9,Vila Real 2ª Seção,da Cruz de Abreu,SC,25008-125,2023-03-15 18:10:03
64,1721,Viela Cavalcanti,37,Jardim Alvorada,Sampaio,MA,55414-071,2024-01-28 06:17:58
65,4301,Chácara Mariah Campos,53,São Paulo,Machado,RJ,42503863,2023-01-18 05:38:47
66,1464,Largo de Novaes,617,Vila São Gabriel,Andrade,PB,82200-545,2025-03-17 11:28:08
67,1562,Estrada Guerra,70,Coração De Jesus,Alves,BA,53246295,2024-01-03 20:39:13
68,2404,Praça de Macedo,93,São Marcos,Rios,AP,94301022,2024-05-17 08:51:55
69,3123,Fazenda de Siqueira,57,Conjunto Providencia,Lima do Amparo,BA,90542-317,2023-05-19 04:42:08
70,4112,Condomínio Ana Laura Novaes,5,Vila Sumaré,Abreu,SC,38270-251,2024-06-06 03:47:54
71,3226,Passarela Moraes,20,Mangabeiras,das Neves de Goiás,MA,24017544,2023-12-05 16:36:15
72,436,Área de Pires,93,Aguas Claras,Ramos,RJ,25308-185,2024-06-29 07:48:41
73,4910,Travessa Cavalcante,930,Nazare,Pereira,AM,87726-077,2024-06-24 23:00:27
74,1899,Fazenda Isabella Castro,1,Pompéia,Cavalcanti,PE,17977403,2023-10-04 00:33:18
75,2117,Quadra Rafaela Costela,95,Dom Cabral,da Conceição,RJ,55531564,2024-02-21 16:34:45
76,2102,Vale Nogueira,776,Caetano Furquim,Souza dos Dourados,MT,28273084,2023-05-13 00:20:23
77,3557,Núcleo de Nascimento,10,Santa Efigênia,Santos da Praia,DF,89047-176,2025-04-05 07:38:53
78,4936,Estação de Brito,6,Vila Copacabana,Santos,DF,47535-531,2025-03-26 21:27:31
79,1137,Passarela Cavalcanti,73,Mantiqueira,Teixeira,MG,99225852,2023-08-25 19:42:41
80,2121,Viela de Lopes,24,Jardim Vitoria,Sousa,RN,51497-651,2025-03-21 06:24:08
81,496,Residencial de Borges,95,Vila Maria,Carvalho,MT,94427298,2023-09-10 11:32:34
82,2190,Parque Sousa,4,Indaiá,Nascimento,PE,93928-003,2025-03-05 22:49:18
83,4078,Lago de Nunes,3,Fernão Dias,Pastor Paulista,GO,87580219,2024-08-03 14:42:44
84,318,Rodovia Maya Campos,47,Ademar Maldonado,Gonçalves,PA,72144705,2023-04-19 07:13:09
85,668,Recanto de Dias,92,Palmeiras,Vasconcelos,PI,89478489,2023-09-01 00:41:49
86,457,Estrada Brayan Andrade,32,Boa Viagem,Silveira de Garcia,RS,13991644,2024-04-22 00:49:41
87,753,Colônia Luan Casa Grande,38,Conjunto Lagoa,Rocha de Nunes,SE,13527118,2024-07-04 12:40:34
88,1742,Praia de Rocha,43,Floramar,Andrade Grande,ES,81904787,2024-12-31 10:03:02
89,3899,Ladeira Vitor Gabriel Ribeiro,76,Conjunto Jardim Filadélfia,Rios da Praia,PR,34961485,2025-03-23 02:37:44
90,446,Loteamento Olívia Peixoto,708,Pedreira Padro Lopes,Garcia Alegre,GO,08779763,2024-01-22 13:11:25
